Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,island,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,replicate,sample_acc,Sample Name,SRA Study
SRR8504070,AMPLICON,602,PRJNA517736,SAMN10843236,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308141,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_08_ITS1,PAIRED,PCR,GENOMIC,33,21,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305648,EA_CY_Ro_08,SRP182864
SRR8504071,AMPLICON,602,PRJNA517736,SAMN10843384,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308140,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,Rhizome,1.208273 N 103.756254 E,EA_Sem_Rh_02_ITS1,PAIRED,PCR,GENOMIC,2,1,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,2,SRS4305647,EA_Sem_Rh_02,SRP182864
SRR8504072,AMPLICON,602,PRJNA517736,SAMN10843385,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308139,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,Rhizome,1.208273 N 103.756254 E,EA_Sem_Rh_03_ITS1,PAIRED,PCR,GENOMIC,9,6,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,3,SRS4305646,EA_Sem_Rh_03,SRP182864
SRR8504073,AMPLICON,602,PRJNA517736,SAMN10843382,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308138,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,leaf,1.208273 N 103.756254 E,EA_Sem_Le_10_ITS1,PAIRED,PCR,GENOMIC,3,2,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,10,SRS4305645,EA_Sem_Le_10,SRP182864
SRR8504074,AMPLICON,602,PRJNA517736,SAMN10843383,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308137,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,Rhizome,1.208273 N 103.756254 E,EA_Sem_Rh_01_ITS1,PAIRED,PCR,GENOMIC,3,2,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,1,SRS4305644,EA_Sem_Rh_01,SRP182864
SRR8504075,AMPLICON,602,PRJNA517736,SAMN10843380,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308136,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,leaf,1.208273 N 103.756254 E,EA_Sem_Le_08_ITS1,PAIRED,PCR,GENOMIC,5,3,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305643,EA_Sem_Le_08,SRP182864
SRR8504076,AMPLICON,602,PRJNA517736,SAMN10843381,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308135,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,leaf,1.208273 N 103.756254 E,EA_Sem_Le_09_ITS1,PAIRED,PCR,GENOMIC,4,3,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,9,SRS4305642,EA_Sem_Le_09,SRP182864
SRR8504077,AMPLICON,602,PRJNA517736,SAMN10843378,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308134,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,leaf,1.208273 N 103.756254 E,EA_Sem_Le_06_ITS1,PAIRED,PCR,GENOMIC,2,1,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,6,SRS4305641,EA_Sem_Le_06,SRP182864
SRR8504079,AMPLICON,602,PRJNA517736,SAMN10843386,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308132,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sem,Rhizome,1.208273 N 103.756254 E,EA_Sem_Rh_04_ITS1,PAIRED,PCR,GENOMIC,7,5,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305639,EA_Sem_Rh_04,SRP182864
SRR8504081,AMPLICON,602,PRJNA517736,SAMN10843244,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308130,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_06_ITS1,PAIRED,PCR,GENOMIC,21,13,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,6,SRS4305637,EA_CY_Soil_06,SRP182864
SRR8504082,AMPLICON,602,PRJNA517736,SAMN10843245,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308129,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_07_ITS1,PAIRED,PCR,GENOMIC,26,16,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,7,SRS4305636,EA_CY_Soil_07,SRP182864
SRR8504083,AMPLICON,602,PRJNA517736,SAMN10843242,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308128,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_04_ITS1,PAIRED,PCR,GENOMIC,48,30,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305635,EA_CY_Soil_04,SRP182864
SRR8504084,AMPLICON,602,PRJNA517736,SAMN10843243,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308127,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_05_ITS1,PAIRED,PCR,GENOMIC,33,20,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,5,SRS4305634,EA_CY_Soil_05,SRP182864
SRR8504085,AMPLICON,602,PRJNA517736,SAMN10843240,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308126,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_02_ITS1,PAIRED,PCR,GENOMIC,39,24,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,2,SRS4305633,EA_CY_Soil_02,SRP182864
SRR8504086,AMPLICON,602,PRJNA517736,SAMN10843241,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308125,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_03_ITS1,PAIRED,PCR,GENOMIC,49,30,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,3,SRS4305632,EA_CY_Soil_03,SRP182864
SRR8504087,AMPLICON,602,PRJNA517736,SAMN10843238,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308124,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_10_ITS1,PAIRED,PCR,GENOMIC,42,26,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,10,SRS4305631,EA_CY_Ro_10,SRP182864
SRR8504088,AMPLICON,602,PRJNA517736,SAMN10843239,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308123,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_01_ITS1,PAIRED,PCR,GENOMIC,23,14,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,1,SRS4305630,EA_CY_Soil_01,SRP182864
SRR8504089,AMPLICON,602,PRJNA517736,SAMN10843246,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308122,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_08_ITS1,PAIRED,PCR,GENOMIC,33,20,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305629,EA_CY_Soil_08,SRP182864
SRR8504090,AMPLICON,602,PRJNA517736,SAMN10843247,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308121,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,soil,1.258905 N 103.754918 E,EA_CY_Soil_09_ITS1,PAIRED,PCR,GENOMIC,31,19,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,9,SRS4305628,EA_CY_Soil_09,SRP182864
SRR8504092,AMPLICON,602,PRJNA517736,SAMN10843217,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308119,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_10_ITS1,PAIRED,PCR,GENOMIC,21,14,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,10,SRS4305626,EA_CY_Le_10,SRP182864
SRR8504093,AMPLICON,602,PRJNA517736,SAMN10843212,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308118,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_05_ITS1,PAIRED,PCR,GENOMIC,16,11,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,5,SRS4305625,EA_CY_Le_05,SRP182864
SRR8504094,AMPLICON,602,PRJNA517736,SAMN10843213,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308117,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_06_ITS1,PAIRED,PCR,GENOMIC,17,11,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,6,SRS4305624,EA_CY_Le_06,SRP182864
SRR8504095,AMPLICON,602,PRJNA517736,SAMN10843214,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308116,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_07_ITS1,PAIRED,PCR,GENOMIC,20,13,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,7,SRS4305623,EA_CY_Le_07,SRP182864
SRR8504096,AMPLICON,602,PRJNA517736,SAMN10843215,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308115,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_08_ITS1,PAIRED,PCR,GENOMIC,7,4,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305622,EA_CY_Le_08,SRP182864
SRR8504097,AMPLICON,602,PRJNA517736,SAMN10843208,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308114,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_01_ITS1,PAIRED,PCR,GENOMIC,13,8,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,1,SRS4305621,EA_CY_Le_01,SRP182864
SRR8504098,AMPLICON,602,PRJNA517736,SAMN10843209,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308113,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,leaf,1.258905 N 103.754918 E,EA_CY_Le_02_ITS1,PAIRED,PCR,GENOMIC,11,7,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,2,SRS4305620,EA_CY_Le_02,SRP182864
